,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,0,AU,1547167673,100,-33.64,115.35,17.89,2.61
1,mahebourg,40,MU,1547164800,88,-20.41,57.7,25.0,2.6
2,ballina,48,IE,1547167674,99,54.11,-9.15,4.66,1.41
3,hobart,40,AU,1547164800,46,-42.88,147.33,21.0,3.1
4,thompson,75,CA,1547164800,76,55.74,-97.86,-21.0,3.1
5,castro,0,CL,1547164800,44,-42.48,-73.76,15.0,1.5
6,talara,32,PE,1547167676,81,-4.58,-81.27,24.46,2.96
7,pervomayskaya,90,RU,1547166600,100,43.4,45.52,-3.0,4.0
8,nikolskoye,90,RU,1547166600,79,59.7,30.79,-5.0,3.0
9,birjand,0,IR,1547164800,58,32.86,59.22,-2.0,2.1
10,yumen,0,CN,1547167678,59,40.29,97.04,-18.87,3.56
11,georgetown,20,GY,1547164800,94,6.8,-58.16,24.0,2.1
12,vaini,0,IN,1547164800,76,15.34,74.49,12.0,1.06
13,luba,0,PH,1547167680,78,17.32,120.7,19.36,1.96
14,jamestown,0,AU,1547167680,71,-33.21,138.6,23.76,2.96
15,tessalit,0,ML,1547167681,56,20.2,1.01,6.51,1.26
16,sechura,36,PE,1547167681,80,-5.56,-80.82,24.34,3.86
17,huarmey,64,PE,1547167412,85,-10.07,-78.15,20.09,1.51
18,rikitea,36,PF,1547167682,99,-23.12,-134.97,26.81,5.91
19,punta+arenas,0,CL,1547164800,54,-53.16,-70.91,14.0,12.9
20,rovnoye,76,RU,1547167683,94,50.78,46.06,-13.77,1.76
21,trelew,0,AR,1547167683,25,-43.25,-65.31,19.21,2.86
22,puerto+ayora,20,EC,1547164800,65,-0.74,-90.35,26.0,5.7
23,hermanus,0,ZA,1547167684,97,-34.42,19.24,11.41,1.66
24,ferkessedougou,0,CI,1547167684,58,9.6,-5.2,19.41,2.06
25,lavrentiya,0,RU,1547167685,91,65.58,-170.99,-21.54,7.46
26,zhigansk,56,RU,1547167685,69,66.77,123.37,-37.74,2.51
27,mataura,92,NZ,1547167685,60,-46.19,168.86,15.21,9.06
28,new+norfolk,20,AU,1547166600,36,-42.78,147.06,24.0,3.6
29,ushuaia,40,AR,1547164800,47,-54.81,-68.31,15.0,9.3
30,torbay,90,CA,1547164800,93,47.66,-52.73,3.0,4.1
31,hilo,20,US,1547164380,66,19.71,-155.08,25.6,6.2
32,east+london,92,ZA,1547167687,100,-33.02,27.91,21.64,6.06
33,barrow,0,AR,1547167688,75,-38.31,-60.23,12.64,1.16
34,sidhi,0,IN,1547167688,87,24.41,81.88,7.59,1.31
35,iqaluit,75,CA,1547164800,68,63.75,-68.52,-29.0,5.1
36,qaanaaq,24,GL,1547167689,100,77.48,-69.36,-27.92,3.81
